id,shown_stimulus,mental_complexity,distraction,pressed_key,correct_key_pressed,reaction_time_in_microseconds,timestamp
4,B,P,yes,70,true,390545,1495627185
4,E,A,no,70,true,701538,1495627186
4,R,P,yes,74,true,409979,1495627187
4,O,A,yes,74,true,391311,1495627187
4,O,A,yes,74,true,475068,1495627188
4,O,A,no,74,true,435636,1495627189
4,B,P,no,70,true,418093,1495627190
4,E,A,no,70,true,449645,1495627190
4,B,P,no,70,true,351905,1495627191
4,R,P,yes,74,true,411457,1495627191
4,R,P,no,74,true,364287,1495627192
4,O,A,no,74,true,495676,1495627193
4,B,P,yes,70,true,410799,1495627193
4,R,P,no,74,true,440395,1495627194
4,E,A,yes,70,true,525950,1495627195
4,O,A,yes,74,true,568906,1495627196
4,B,P,yes,70,true,459392,1495627197
4,R,P,yes,74,true,428078,1495627197
4,E,A,yes,70,true,449077,1495627198
4,B,P,no,70,true,436783,1495627199
4,E,A,no,70,true,485358,1495627199
4,E,A,no,70,true,579937,1495627200
4,R,P,yes,74,true,693763,1495627201
4,B,P,yes,70,true,491004,1495627202
4,E,A,yes,70,true,521598,1495627202
4,O,A,no,74,true,511957,1495627203
4,O,A,no,74,true,484023,1495627204
4,R,P,no,74,true,585708,1495627205
4,O,A,yes,74,true,494279,1495627205
4,E,A,no,70,true,534438,1495627206
4,R,P,no,74,true,674232,1495627207
4,B,P,no,70,true,548870,1495627207
4,E,A,yes,70,true,523782,1495627209
4,O,A,yes,74,true,517274,1495627209
4,E,A,yes,70,true,457199,1495627210
4,R,P,no,74,true,532575,1495627211
4,B,P,no,70,true,431161,1495627212
4,O,A,no,70,false,485753,1495627212
4,R,P,yes,74,true,881456,1495627214
4,B,P,yes,70,true,541364,1495627215
