id,shown_stimulus,mental_complexity,distraction,pressed_key,correct_key_pressed,reaction_time_in_microseconds,timestamp
3,O,A,yes,74,true,6592810,1495534656
3,B,P,no,70,true,668067,1495534665
3,O,A,no,74,true,547548,1495534666
3,E,A,no,70,true,485909,1495534667
3,O,A,no,74,true,546069,1495534668
3,E,A,no,70,true,746706,1495534670
3,R,P,no,74,true,500115,1495534671
3,O,A,no,74,true,555307,1495534672
3,O,A,yes,74,true,752013,1495534672
3,O,A,yes,74,true,645474,1495534673
3,E,A,yes,70,true,745163,1495534679
3,R,P,yes,74,true,779496,1495534680
3,B,P,yes,70,true,583751,1495534681
3,B,P,no,70,true,574124,1495534682
3,B,P,yes,70,true,474545,1495534683
3,O,A,no,74,true,512937,1495534684
3,E,A,yes,70,true,1120640,1495534685
3,O,A,yes,74,true,666019,1495534686
3,R,P,no,74,true,696350,1495534687
3,R,P,yes,74,true,457052,1495534688
3,R,P,no,74,true,384626,1495534688
3,R,P,no,74,true,354404,1495534689
3,O,A,yes,74,true,688318,1495534690
3,R,P,yes,74,true,547621,1495534691
3,E,A,no,70,true,607277,1495534692
3,E,A,yes,70,true,488606,1495534693
3,B,P,yes,70,true,1297993,1495534694
3,R,P,yes,74,true,1009029,1495534695
3,B,P,no,70,true,1208344,1495534705
3,B,P,no,70,true,341829,1495534706
3,R,P,no,74,true,401535,1495534706
3,B,P,yes,70,true,450389,1495534707
3,E,A,no,70,true,589367,1495534708
3,B,P,no,70,true,423784,1495534709
3,R,P,yes,74,true,496578,1495534709
3,E,A,yes,70,true,568844,1495534710
3,E,A,yes,70,true,524541,1495534711
3,O,A,no,74,true,499142,1495534712
3,B,P,yes,70,true,647936,1495534713
3,E,A,no,70,true,727093,1495534714
